genre_group,title,author,n_chapters,mean_happiness,median_happiness,mean_coverage,mean_word_count
children,Alice's Adventures in Wonderland,Lewis Carroll,12,5.369902448544742,5.363337949697549,0.9318374880342409,2278.0
children,Anne of Green Gables,L. M. Montgomery,38,5.444974995686106,5.436430079955892,0.9111582884586621,2812.2105263157896
children,Black Beauty,Anna Sewell,2,5.3883293034726325,5.3883293034726325,0.9480692235160215,30389.5
children,Five Children and It,E. Nesbit,12,5.38336798793589,5.38593919351056,0.9199230667377867,4590.416666666667
children,Heidi,Johanna Spyri,23,5.432827555049511,5.4347354497354505,0.9254436543066653,4015.0
children,Little Women,Louisa May Alcott,47,5.46398078567834,5.47,0.9170055367075066,4063.531914893617
children,Peter Pan,J. M. Barrie,17,5.34573268022919,5.385777968281183,0.9198845598057145,2816.529411764706
children,The Secret Garden,Frances Hodgson Burnett,27,5.3958864517322525,5.406925880923451,0.9316996591114963,3085.3333333333335
children,The Wind in the Willows,Kenneth Grahame,39,5.438762793064834,5.450515239477503,0.9126240842591312,1398.3076923076924
children,The Wonderful Wizard of Oz,L. Frank Baum,23,5.400383180726514,5.40428947368421,0.9343862095516837,1719.1739130434783
gothic_horror,Carmilla,J. Sheridan Le Fanu,17,5.4162830301703515,5.429641304347826,0.9111367861287971,1650.1764705882354
gothic_horror,Dracula,Bram Stoker,29,5.377516483849823,5.376588613406795,0.9280836601138399,5624.275862068966
gothic_horror,Frankenstein,Mary Shelley,27,5.417707908454806,5.416617029400535,0.8939937803798429,2779.5555555555557
gothic_horror,Strange Case of Dr Jekyll and Mr Hyde,Robert Louis Stevenson,10,5.322523982947966,5.311878264771877,0.9096732004528935,2590.8
gothic_horror,The Castle of Otranto,Horace Walpole,5,5.359816059421418,5.355078313253013,0.864556496189052,7025.8
gothic_horror,The House of the Seven Gables,Nathaniel Hawthorne,23,5.362993669825459,5.365243803331979,0.8780734804624464,4700.130434782609
gothic_horror,The King in Yellow,Robert W. Chambers,2,5.331980960788227,5.331980960788227,0.8634797343779181,16820.0
gothic_horror,The Picture of Dorian Gray,Oscar Wilde,22,5.384029355621762,5.409761544040142,0.9126641187784524,3656.181818181818
gothic_horror,The Turn of the Screw,Henry James,25,5.3724441545709825,5.380674318507891,0.9343930853494419,1736.48
