category,word,happiness_average,count,genre_group,interpretation_note
frequent_positive,like,7.22,2078,children,Fill in manually after close reading the word in context.
frequent_positive,good,7.2,1607,children,Fill in manually after close reading the word in context.
frequent_positive,mother,7.68,822,children,Fill in manually after close reading the word in context.
frequent_positive,great,7.88,806,children,Fill in manually after close reading the word in context.
frequent_positive,home,7.14,800,children,Fill in manually after close reading the word in context.
frequent_positive,like,7.22,973,gothic_horror,Fill in manually after close reading the word in context.
frequent_positive,life,7.32,784,gothic_horror,Fill in manually after close reading the word in context.
frequent_positive,good,7.2,713,gothic_horror,Fill in manually after close reading the word in context.
frequent_positive,great,7.88,613,gothic_horror,Fill in manually after close reading the word in context.
frequent_positive,heart,7.22,462,gothic_horror,Fill in manually after close reading the word in context.
frequent_negative,no,3.48,2119,children,Fill in manually after close reading the word in context.
frequent_negative,never,3.34,1446,children,Fill in manually after close reading the word in context.
frequent_negative,cried,2.2,496,children,Fill in manually after close reading the word in context.
frequent_negative,poor,2.32,365,children,Fill in manually after close reading the word in context.
frequent_negative,gone,3.42,333,children,Fill in manually after close reading the word in context.
frequent_negative,no,3.48,1692,gothic_horror,Fill in manually after close reading the word in context.
frequent_negative,never,3.34,764,gothic_horror,Fill in manually after close reading the word in context.
frequent_negative,poor,2.32,442,gothic_horror,Fill in manually after close reading the word in context.
frequent_negative,cried,2.2,360,gothic_horror,Fill in manually after close reading the word in context.
frequent_negative,death,1.54,345,gothic_horror,Fill in manually after close reading the word in context.
frequent_mid_score_or_ambiguous,the,4.98,35905,children,Fill in manually after close reading the word in context.
frequent_mid_score_or_ambiguous,and,5.22,29451,children,Fill in manually after close reading the word in context.
frequent_mid_score_or_ambiguous,to,4.98,20561,children,Fill in manually after close reading the word in context.
frequent_mid_score_or_ambiguous,a,5.24,16322,children,Fill in manually after close reading the word in context.
frequent_mid_score_or_ambiguous,of,4.94,14766,children,Fill in manually after close reading the word in context.
frequent_mid_score_or_ambiguous,the,4.98,31462,gothic_horror,Fill in manually after close reading the word in context.
frequent_mid_score_or_ambiguous,and,5.22,19625,gothic_horror,Fill in manually after close reading the word in context.
frequent_mid_score_or_ambiguous,of,4.94,17098,gothic_horror,Fill in manually after close reading the word in context.
frequent_mid_score_or_ambiguous,to,4.98,15988,gothic_horror,Fill in manually after close reading the word in context.
frequent_mid_score_or_ambiguous,i,5.92,14419,gothic_horror,Fill in manually after close reading the word in context.
